Animal,Phase,Trial,Behaviour marked,Date,Time marking,Time recall,Total time,Behaviour offered,Double blind,Distractions,Trainer mark,Trainer recall
Nemo,5,11,Sing,15/09/2020,13:32,15:51,139,Sing,1,94,Vero,Andrea
Nemo,5,12,Tail wave,16/09/2020,10:21,14:04,223,Tail wave,1,151,Andrea,Jenny
Nemo,5,13,Sing,18/09/2020,11:35,14:20,165,Sing,1,111,Andrea,Jenny
Nemo,5,14,Clap,02/09/2020,09:37,13:15,218,Sing,1,147,Jenny,Vero
Nemo,5,15,Spin,09/20/2020,10:45,14:46,241,Spin,1,163,Andrea,Vero
Nemo,5,16,Jump,09/21/2020,11:17,15:00,283,Tail wave,0,191,Andrea,Andrea
Nemo,5,17,Splash,09/22/2020,10:55,15:00,245,Spin,1,165,Vero,Jenny
Nemo,5,18,Clap,09/23/2020,10:35,14:15,220,Clap,1,149,Andrea,Vero
Eva,6,1,Clap,07/29-30/2020,16:50,09:13,983,Clap,0,0,Andrea,Andrea
Eva,6,2,Splash,08/01/2020,16:24,08:50,986,Tail wave,1,0,Gris,Andrea
Eva,6,3,Spin,08/02/2020,16:48,09:20,992,Clap,0,0,Gris,Gris
Eva,6,4,Clap,08/03/2020,16:34,08:59,985,Sing,0,0,Gris,Gris
Eva,6,5,Splash,08/05/2020,16:17,09:03,1006,Splash,0,0,Andrea,Andrea
Eva,6,6,Jump,08/06/2020,16:40,09:18,998,Clap,1,0,Gris,Andrea
Eva,6,7,Clap,08/17/2020,16:13,09:34,1041,Tail wave,1,0,Gris,Andrea
Eva,6,8,Spin,08/10/2020,16:47,09:40,1013,Clap,1,0,Gris,Andrea
Eva,6,9,Jump,08/18/2020,16:35,09:24,1009,Clap,1,0,Gris,Andrea
Eva,6,10,Sing,08/09/2020,16:24,09:19,1015,Splash,0,0,Gris,Gris
Eva,6,11,Tail wave,11/08/2020,17:22,09:31,969,Clap,1,0,Gris,Andrea
Eva,6,12,Sing,19/08/2020,16:36,09:30,1014,Sing,1,0,Gris,Nayeli
Eva,6,13,Splash,20/08/2020,16:52,09:51,1019,Sing,1,0,Nayeli,Gris
Eva,6,14,Tail wave,21/08/2020,16:41,09:30,1009,Tail wave,0,0,Gris,Gris
Eva,6,15,Jump,08/22/2020,16:33,09:22,1009,Jump,1,0,Gris,Andrea
Eva,6,16,Tail wave,08/23/2020,16:25,09:35,1030,Tail wave,1,0,Gris,Andrea
Eva,6,17,Spin,08/24/2020,16:30,09:12,1002,Spin,1,0,Gris,Andrea
Eva,6,18,Sing,08/25/2020,16:57,09:07,970,Sing,1,0,Gris,Andrea
Lluvia,6,1,Spin,07/29-30/2020,16:50,09:15,985,Spin,0,0,Nayeli,Nayeli
Lluvia,6,2,Splash,08/03/2020,16:34,08:49,975,Spin,1,0,Nayeli,Andrea
Lluvia,6,3,Clap,08/02/2020,16:48,09:20,992,Sing,1,0,Nayeli,Andrea
Lluvia,6,4,Sing,08/05/2020,16:42,09:11,989,Tail wave,1,0,Nayeli,Andrea
Lluvia,6,5,Tail wave,08/06/2020,16:54,09:12,978,Tail wave,0,0,Nayeli,Nayeli
